label	precision	recall	f1_score	support
Eletros para Cozinha	0.0	0.0	0.0	1.0
Elevador Cremalheira	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Equipamentos	0.7142857142857143	1.0	0.8333333333333334	5.0
Equipamentos Elétricos	0.2	0.2	0.2	5.0
Equipamentos de laboratório	0.0	0.0	0.0	1.0
Equipamentos para Construção	0.625	0.8333333333333334	0.7142857142857143	6.0
Equipamentos para Gases Medicinais	0.5	0.6666666666666666	0.5714285714285714	3.0
Equipamentos para Piscina	0.0	0.0	0.0	1.0
Escadas Móveis	0.75	1.0	0.8571428571428571	3.0
Esportes e Lazer	0.3333333333333333	0.5	0.4	2.0
Espuma Expansiva	1.0	1.0	1.0	2.0
Estabilizadores	1.0	1.0	1.0	1.0
Exaustores	1.0	1.0	1.0	2.0
Fechaduras e Travas	0.75	1.0	0.8571428571428571	6.0
Ferragens	0.6666666666666666	1.0	0.8	4.0
Ferragens para Fixar e Montar	0.6716417910447762	0.7258064516129032	0.6976744186046512	62.0
Ferragens para Porta	0.0	0.0	0.0	1.0
Ferramentas   para Pintura	1.0	0.6	0.75	5.0
Ferramentas Elétricas/Bateria	0.75	0.8571428571428571	0.8	7.0
Ferramentas Manuais	0.6666666666666666	0.6349206349206349	0.6504065040650406	63.0
Ferramentas de Medição	0.5	0.2857142857142857	0.36363636363636365	7.0
Ferramentas para Construção	1.0	0.7333333333333333	0.8461538461538461	15.0
Ferramentas para Jardim	0.8888888888888888	1.0	0.9411764705882353	24.0
Ferramentas para Solda	0.0	0.0	0.0	1.0
Ferramentas por Profissão	1.0	1.0	1.0	2.0
Fibra de Vidro	0.0	0.0	0.0	1.0
Filtros, Purificadores e Bebedouros	1.0	0.5	0.6666666666666666	2.0
Fitas	0.875	1.0	0.9333333333333333	7.0
Fontes de Energia	0.8	0.9230769230769231	0.8571428571428571	13.0
Formas	0.6842105263157895	0.6190476190476191	0.65	21.0
Forros	0.5714285714285714	0.8	0.6666666666666666	5.0
Ganchos e Cabideiros	0.0	0.0	0.0	0.0
Gases refrigerantes	0.0	0.0	0.0	1.0
Gesso e Drywall	0.6923076923076923	0.9	0.782608695652174	10.0
Iluminação Pública	0.0	0.0	0.0	1.0
Iluminação de Segurança	0.0	0.0	0.0	0.0
Impermeabilizantes	0.6666666666666666	0.5	0.5714285714285714	4.0
Informática	0.0	0.0	0.0	1.0
Infraestrutura	0.7272727272727273	0.5333333333333333	0.6153846153846154	15.0
Insumos metálicos	0.7272727272727273	0.6666666666666666	0.6956521739130435	12.0
Inversores	0.0	0.0	0.0	1.0
Isolamento	0.5	0.25	0.3333333333333333	4.0
Janelas e Venezianas	1.0	1.0	1.0	1.0
Kits para Banheiro	1.0	0.5	0.6666666666666666	2.0
Lixeiras	0.0	0.0	0.0	1.0
Lixeiras de Calçada	0.6666666666666666	1.0	0.8	2.0
Lona, Papelão e Plástico Bolha	1.0	0.5	0.6666666666666666	4.0
Luminárias	0.825	0.7674418604651163	0.7951807228915663	43.0
Lâmpadas	0.8333333333333334	0.9836065573770492	0.9022556390977443	61.0
Madeiras	0.0	0.0	0.0	0.0
Madeiras para Construção	0.5833333333333334	0.7777777777777778	0.6666666666666666	9.0
Manta e Produtos Asfálticos	0.0	0.0	0.0	4.0
Marmores e Granitos	1.0	0.5	0.6666666666666666	2.0
Massa Acrílica	1.0	0.5	0.6666666666666666	2.0
Massa Corrida e Niveladora	0.42857142857142855	0.6	0.5	5.0
Materiais para Obras	0.0	0.0	0.0	1.0
Medidores de Energia	1.0	1.0	1.0	1.0
Medição e instrumentação	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Máquinas Elétricas	0.0	0.0	0.0	1.0
Móveis	0.0	0.0	0.0	1.0
Nobreaks	0.8	1.0	0.8888888888888888	4.0
Notebooks	0.0	0.0	0.0	2.0
Organização e Transporte de Ferramentas	1.0	1.0	1.0	2.0
Outros	0.5	0.16666666666666666	0.25	12.0
Outros - Banheiros	0.0	0.0	0.0	1.0
Outros - Eletros	0.0	0.0	0.0	1.0
Outros - Ferragens	0.5454545454545454	0.41379310344827586	0.47058823529411764	29.0
Outros - Ferramentas	0.0	0.0	0.0	2.0
Outros - Iluminação	0.0	0.0	0.0	4.0
Outros - Madeiras	0.0	0.0	0.0	3.0
Outros - Materiais Elétricos	0.625	0.5	0.5555555555555556	10.0
Outros - Materiais Hidráulicos	0.5	0.3076923076923077	0.38095238095238093	13.0
Outros - Materiais de Construção	0.2857142857142857	0.13333333333333333	0.18181818181818182	15.0
Outros - Pavimentação	0.0	0.0	0.0	2.0
Outros - Pisos e Revestimentos	0.6666666666666666	0.5	0.5714285714285714	4.0
Outros - Tintas e Acessórios	0.0	0.0	0.0	2.0
Outros Elétricos	0.0	0.0	0.0	2.0
Painéis Fotovoltaicos	0.0	0.0	0.0	1.0
Para Raios e SPDA	0.4827586206896552	0.56	0.5185185185185185	25.0
Parafusos e acessórios	0.6176470588235294	0.7241379310344828	0.6666666666666666	29.0
Pavimentaço	0.5	1.0	0.6666666666666666	2.0
Perfis e chapas em aço carbono	0.6666666666666666	0.72	0.6923076923076923	25.0
Perfis para Steel Frame	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.0
Pias e Bancadas em Mármore	0.0	0.0	0.0	1.0
Pias e Cubas de Cozinha	0.6666666666666666	1.0	0.8	2.0
Pias e Lavatórios	0.8	1.0	0.8888888888888888	4.0
Pincéis, Rolos e Acessórios	1.0	0.3333333333333333	0.5	3.0
Piso Elevado	0.75	1.0	0.8571428571428571	3.0
Piso Podotátil	0.0	0.0	0.0	0.0
Pisos	0.0	0.0	0.0	2.0
Pisos Cerâmicos	0.8	0.8	0.8	5.0
Pisos Laminados	1.0	1.0	1.0	2.0
Pisos Vinílicos	0.0	0.0	0.0	1.0
Pisos de Borracha	0.0	0.0	0.0	1.0
Pisos de concreto	0.0	0.0	0.0	1.0
Placa de obra	0.6666666666666666	1.0	0.8	2.0
Placas de sinalização de segurança	0.5	1.0	0.6666666666666666	1.0
Placas e forros minerais	0.0	0.0	0.0	1.0
Plataformas de acessibilidade	1.0	1.0	1.0	1.0
Plugs e Adaptadores	0.5	0.2	0.2857142857142857	5.0
Polias e rolamentos	0.0	0.0	0.0	1.0
Porcelanatos	0.6	0.6	0.6	5.0
Portas corta fogo	0.0	0.0	0.0	1.0
Portas e esquadrias	0.7777777777777778	0.6363636363636364	0.7	11.0
Portões	1.0	1.0	1.0	1.0
Poste Metálico	0.8095238095238095	0.8947368421052632	0.85	19.0
Poste de Concreto	0.6619718309859155	0.9215686274509803	0.7704918032786885	51.0
Poste de fibra de vidro	1.0	1.0	1.0	1.0
Poste de madeira	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.0
Postes de Jardim	0.0	0.0	0.0	1.0
Pressurizadores de Água	1.0	1.0	1.0	2.0
Produtos para Aplicação e Acabamento	0.0	0.0	0.0	1.0
Produtos para Limpeza	0.5714285714285714	0.4	0.47058823529411764	10.0
Produtos para Madeira	1.0	1.0	1.0	8.0
Produtos para Área de Serviço	0.0	0.0	0.0	1.0
Proteções Elétricas	0.7641509433962265	0.9529411764705882	0.8481675392670157	85.0
Pré-Moldados	0.0	0.0	0.0	1.0
Pré-moldados	0.0	0.0	0.0	2.0
Puxadores	1.0	0.5	0.6666666666666666	2.0
Quadros e Caixas Elétricas	0.7307692307692307	0.76	0.7450980392156863	25.0
Ralos e Grelhas	0.8571428571428571	1.0	0.9230769230769231	6.0
Rede de hidrantes	0.5	1.0	0.6666666666666666	1.0
Refletores	0.7857142857142857	1.0	0.88	11.0
Registros e Bases	0.875	0.875	0.875	16.0
Resistências Elétricas	0.3333333333333333	1.0	0.5	1.0
Revestimentos	0.0	0.0	0.0	2.0
Revestimentos Externos	1.0	0.6666666666666666	0.8	3.0
Revestimentos Internos	0.25	0.5	0.3333333333333333	2.0
Rodapés	0.8333333333333334	0.8333333333333334	0.8333333333333334	6.0
Rodízios, Pés para Móveis e Eletrodomésticos	1.0	1.0	1.0	1.0
Sacos de Entulho	0.0	0.0	0.0	1.0
Sanitário	0.7687074829931972	0.9495798319327731	0.849624060150376	119.0
Seladores e Fundos	0.0	0.0	0.0	1.0
Sem Categoria	0.7846153846153846	0.6161073825503356	0.6902255639097744	745.0
Serviços Mecânicos	0.5	1.0	0.6666666666666666	2.0
Sifão para Pia	0.0	0.0	0.0	1.0
Sinalização, Letras e Números	0.25	0.3333333333333333	0.2857142857142857	3.0
Sistemas	0.8571428571428571	1.0	0.9230769230769231	6.0
Solventes e Removedores	1.0	1.0	1.0	2.0
