Prod_Desc_norm,ocorrencias,exemplos,subcats
fita autofusao c 10m,3,"['FITA AUTOFUSÃO C/10M', 'Fita autofusão c/10m']",['Produtos para Madeira']
fita crepe branca 48mmx50m,3,['Fita Crepe branca 48mmX50m'],['Fitas']
fita isolante,3,['Fita Isolante'],['Acessórios e Conexões Elétricas']
fita isolante 19mm x 50m preta,3,['Fita Isolante 19mm x 50M preta'],['Acessórios e Conexões Elétricas']
conector compacto emenda 5 fios mod 221 415,3,"['CONECTOR COMPACTO EMENDA 5 FIOS MOD 221-415', 'Conector compacto emenda 5 fios mod 221-415']",['Infraestrutura']
conector cunha 10mm,3,"['CONECTOR CUNHA 10MM', 'Conector cunha 10mm']",['Acessórios e Conexões Elétricas']
conector parafuso fendido cabos fios 16mm split bolt,3,"['CONECTOR PARAFUSO FENDIDO CABOS FIOS 16MM SPLIT BOLT', 'Conector parafuso fendido cabos fios 16mm split bolt']",['Acessórios e Conexões Elétricas']
conector terminal em cobre eletrolitico com acabamento em estanho para cabo de energia de 95mm2 definir modelo adequado conforme tipo de conexao dupla compressao,3,['Conector terminal em cobre eletrolítico com acabamento em estanho para cabo de energia de 95mm². Definir modelo adequado conforme tipo de conexão. dupla compressão'],['Acessórios e Conexões Elétricas']
trilho perfurado suporte disjuntor din 50cm zincado,3,"['TRILHO PERFURADO SUPORTE DISJUNTOR DIN 50CM ZINCADO', 'Trilho perfurado suporte disjuntor DIN 50cm zincado']",['Proteções Elétricas']
tubo cola adesivo p cano pvc 75g,3,['Tubo Cola Adesivo p/ cano pvc 75g'],['Canos e Conexões Hidráulicas']
tubo corrugado pead parede dupla interna lisa jei dn di 400 mm para saneamento drenagem esgoto,3,"['TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI *400* MM, PARA SANEAMENTO (DRENAGEM/ESGOTO).', 'TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 400 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO)']","['Canos e Conexões Hidráulicas', 'Sanitário']"
tubo corrugado pead parede dupla interna lisa jei dn di 800 mm para saneamento drenagem esgoto,3,"['TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 800 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO)']","['Canos e Conexões Hidráulicas', 'Dutos e conexões PEAD']"
tubo de concreto,3,['Tubo de concreto'],['Aduela de Concreto']
enxada larga 2 5 lbs cabo de madeira de 145cm,3,"['Enxada larga 2,5 lbs cabo de madeira de 145cm']",['Ferramentas para Jardim']
escova aco circular p esmerilhadeira 75mm,3,['Escova aço circular p/ esmerilhadeira 75mm'],['Ferramentas Elétricas/Bateria']
escova de aco manual,3,['Escova de aço manual'],['Ferramentas Manuais']
contator tripolar 25a 220vca cwm25,3,"['CONTATOR TRIPOLAR 25A 220VCA CWM25', 'Contator tripolar 25A 220VCA CWM25']",['Automação Industrial']
tubo de pvc rigido branco ø40 conforme nbr5688 linha serie normal,3,['Tubo de PVC Rígido Branco Ø40 conforme NBR5688 Linha Série Normal'],"['Cabos e Fios Elétricos', 'Sanitário']"
tubo de pvc rigido branco ø50 conforme nbr5688 linha serie normal,3,['Tubo de PVC Rígido Branco Ø50 conforme NBR5688 Linha Série Normal'],"['Cabos e Fios Elétricos', 'Sanitário']"
tubo de pvc rigido branco ø75 conforme nbr5688 linha serie normal,3,['Tubo de PVC Rígido Branco Ø75 conforme NBR5688 Linha Série Normal'],"['Cabos e Fios Elétricos', 'Sanitário']"
tubo de pvc rigido soldavel marrom ø25 conforme nbr 5648,3,['Tubo de PVC Rígido Soldável Marrom Ø25 conforme NBR 5648'],"['Canos e Conexões Hidráulicas', 'Água Fria']"
adaptador soldavel com anel para caixa d agua dn25mm pvc marrom soldavel conforme nbr 5648,3,"[""Adaptador Soldável com Anel para Caixa d'Água, DN25mm, PVC Marrom Soldável, conforme NBR 5648""]","['Canos e Conexões Hidráulicas', 'Água Fria']"
terminal eletrico tubular simples ilhos pre isolado 2 5mm,3,"['TERMINAL ELÉTRICO TUBULAR SIMPLES ILHÓS PRÉ-ISOLADO 2,5MM', 'Terminal elétrico tubular simples ilhós pré-isolado 2,5mm']",['Acessórios e Conexões Elétricas']
terminal eletrico tubular simples ilhos pre isolado 6mm,3,"['TERMINAL ELÉTRICO TUBULAR SIMPLES ILHÓS PRÉ-ISOLADO 6MM', 'Terminal elétrico tubular simples ilhós pré-isolado 6mm']",['Acessórios e Conexões Elétricas']
tesoura de poda profissional c lamina metalica e cabo revestido plastico,3,['Tesoura de Poda profissional c/ lâmina metálica e cabo revestido plástico'],['Ferramentas Manuais']
thinner 900ml diluente removedor de tinta,3,"['Thinner 900Ml, Diluente, Removedor de Tinta']",['Verniz e Solvente']
areia fina posto jazida fornecedor retirado na jazida sem transporte,3,"['AREIA FINA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)', 'Areia Fina - Posto Jazida / Fornecedor (Retirado na Jazida / Sem Transporte)']","['Areia, Pedra Brita, Gesso, Cal e Argila']"
argamassa ac ii saco de 20kg,3,['Argamassa AC II saco de 20kg'],['Argamassas']
tinta acrilica branco fosco,3,['Tinta acrílica branco fosco'],['Verniz e Solvente']
tinta acrilica premio semibrilho bege 18l,3,['Tinta acrílica prêmio Semibrilho Bege 18l'],['Verniz e Solvente']
tinta acrilica premio semibrilho branco18l,3,['Tinta acrílica prêmio Semibrilho branco18l'],['Verniz e Solvente']
tinta branca esmalte acrilica p parede anti mofo 18lts,3,['Tinta Branca Esmalte Acrílica p/ parede Anti Mofo 18Lts'],['Verniz e Solvente']
contator tripolar 4011 40a 220v,3,"['CONTATOR TRIPOLAR 4011 40A 220V', 'Contator tripolar 4011 40A 220V']",['Automação Industrial']
contator tripolar 40a 220vca cwb40,3,"['CONTATOR TRIPOLAR 40A 220VCA CWB40', 'Contator tripolar 40A 220VCA CWB40']",['Automação Industrial']
contator tripolar 40a 220vca cwm40,3,"['CONTATOR TRIPOLAR 40A 220VCA CWM40', 'Contator tripolar 40A 220VCA CWM40']",['Automação Industrial']
contator tripolar 40a 220vca lc1d40am7,3,"['CONTATOR TRIPOLAR 40A 220VCA LC1D40AM7', 'Contator tripolar 40A 220VCA LC1D40AM7']",['Automação Industrial']
contator tripolar 9a 220vca cwb9,3,"['CONTATOR TRIPOLAR 9A 220VCA CWB9', 'Contator tripolar 9A 220VCA CWB9']",['Automação Industrial']
adaptador soldavel com anel para caixa d agua dn32mm pvc marrom soldavel conforme nbr 5648,3,"[""Adaptador Soldável com Anel para Caixa d'Água, DN32mm, PVC Marrom Soldável, conforme NBR 5648""]","['Canos e Conexões Hidráulicas', 'Água Fria']"
curva vertical externa 90 para leito de cabos de aco carbono galvanizado a fogo 300 mm de largura e altura da aba 100mm,3,"['Curva Vertical Externa 90°, para leito de cabos, de aço carbono galvanizado a fogo, 300 mm de largura e altura da aba 100mm']","['Tomadas, interruptores e plugues']"
curva vertical interna 90 para eletrocalha chapa de aco carbono galvanizada largura 300 mm e altura da aba 100 mm,3,"['Curva Vertical Interna 90°, para eletrocalha, chapa de aço carbono galvanizada, largura 300 mm e altura da aba 100 mm']","['Tomadas, interruptores e plugues']"
curva vertical interna 90 para leito de cabos de aco carbono galvanizado a fogo 300 mm de largura e altura da aba 100mm,3,"['Curva Vertical Interna 90°, para leito de cabos, de aço carbono galvanizado a fogo, 300 mm de largura e altura da aba 100mm']","['Tomadas, interruptores e plugues']"
eletroduto rigido em liga de aluminio sem costura 1 1 2pol extremidades rosca npt vara 3m,3,"['Eletroduto rígido em liga de alumínio sem costura 1 1/2pol, extremidades rosca NPT, vara 3m']",['Tubos e Eletrodutos']
eletroduto rigido em liga de aluminio sem costura com extremidades rosca npt com luva vara com 3m,3,"['Eletroduto rígido em liga de alumínio sem costura com extremidades rosca NPT com luva, vara com 3m']",['Tubos e Eletrodutos']
elevador residencial,3,['Elevador Residencial'],"['Acessibilidade', 'Transporte Vertical']"
torneira boia p caixa d agua 1 2,3,"[""Torneira Bóia p/ caixa d'agua 1/2""]",['Torneiras']
eletroduto em pvc rigido roscavel antichama,3,['Eletroduto em PVC rigido roscavel antichama'],['Tubos e Eletrodutos']
eletroduto rigido em aco carbono galvanizado a fogo com costura 2pol extremidades rosca npt vara 3m,3,"['Eletroduto rígido em aço carbono galvanizado a fogo com costura 2pol, extremidades rosca NPT, vara 3m']",['Tubos e Eletrodutos']
tubo de pvc rigido soldavel marrom ø32 conforme nbr 5648,3,['Tubo de PVC Rígido Soldável Marrom Ø32 conforme NBR 5648'],"['Canos e Conexões Hidráulicas', 'Água Fria']"
curva horizontal 90 para eletrocalha,3,['Curva horizontal 90 para eletrocalha'],['Eletrocalhas']
curva horizontal 90 para leito de cabos de aco carbono galvanizado 300 mm de largura e altura da aba 100mm,3,"['Curva Horizontal 90°, para leito de cabos, de aço carbono galvanizado, 300 mm de largura e altura da aba 100mm']","['Tomadas, interruptores e plugues']"
vidro martelado ou canelado 4 mm sem colocacao,2,"['VIDRO MARTELADO OU CANELADO, 4 MM - SEM COLOCACAO']",['Vidros']
tubo pead dn di dn de 600 corrugado parede dupla liso internamente e corrugado externamente dn di dn de 600 mm e com diametro interno minimo igual ou maior a 527mm classe de rigidez sn4 atendimento integral as normas abnt nbr iso 21138 1 e iso 21138 3 fornecido em barras de 6 mde comprimento com anel de vedacao,2,"['Tubo PEAD DN/DI / DN/DE 600 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 600 mm e com diâmetro interno mínimo igual ou maior a 527mm, classe de rigidez SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido em barras de 6 mde comprimento com anel de vedação', 'Tubo PEAD DN/DI / DN/DE 600 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 600 mm e com diâmetro interno mínimo igual ou maior a 527mm, classe de rigidez SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido em barras de 6 mde comprimento com anel de vedação.']",['Canos e Conexões Hidráulicas']
tubo pead dn di dn de 500 corrugado parede dupla liso internamente e corrugado externamente dn di dn de 500 mm e com diametro interno minimo igual ou maior a 418mm classe de rigidez minima sn4 atendimento integral as normas abnt nbr iso 21138 1 e iso 21138 3 fornecido embarras de 6 m de comprimento com anel de vedacao,2,"['Tubo PEAD DN/DI / DN/DE 500 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 500 mm e com diâmetro interno mínimo igual ou maior a 418mm, classe de rigidez minima SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido embarras de 6 m de comprimento com anel de vedação', 'Tubo PEAD DN/DI / DN/DE 500 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 500 mm e com diâmetro interno mínimo igual ou maior a 418mm, classe de rigidez minima SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido embarras de 6 m de comprimento com anel de vedação.']",['Canos e Conexões Hidráulicas']
tubo pead dn di dn de 400 corrugado parede dupla liso internamente e corrugado externamente dn di dn de 400 mm e com diametro interno minimo igual ou maior a 335mm classe de rigidez minima sn4 atendimento integral as normas abnt nbr iso 21138 1 e iso 21138 3 fornecido embarras de 6 m de comprimento com anel de vedacao,2,"['Tubo PEAD DN/DI / DN/DE 400 corrugado parede dupla, liso internamente e corrugado externamente, DN/ DI / DN/DE 400 mm e com diâmetro interno mínimo igual ou maior a 335mm, classe de rigidez minima SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido embarras de 6 m de comprimento com anel de vedação', 'Tubo PEAD DN/DI / DN/DE 400 corrugado parede dupla, liso internamente e corrugado externamente, DN/ DI / DN/DE 400 mm e com diâmetro interno mínimo igual ou maior a 335mm, classe de rigidez minima SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido embarras de 6 m de comprimento com anel de vedação.']",['Canos e Conexões Hidráulicas']
tubo pead dn di dn de 1200 corrugado parede dupla liso internamente e corrugado externamente dn di dn de 1200 mm e com diametro interno minimo igual ou maior a 1005mm classe de rigidez sn4 atendimento integral as normas abnt nbr iso 21138 1 e iso 21138 3 fornecido em barras de 6 mde comprimento com anel de vedacao,2,"['Tubo PEAD DN/DI DN/DE 1200 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 1200 mm e com diâmetro interno mínimo igual ou maior a 1005mm, classe de rigidez SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido em barras de 6 mde comprimento com anel de vedação']",['Canos e Conexões Hidráulicas']
tubo pead dn di dn de 1000 corrugado parede dupla liso internamente e corrugado externamente dn di dn de 1000 mm e com diametro interno minimo igual ou maior a 837mm classe de rigidez sn4 atendimento integral as normas abnt nbr iso 21138 1 e iso 21138 3 fornecido em barras de 6 mde comprimento com anel de vedacao,2,"['Tubo PEAD DN/DI / DN/DE 1000 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 1000 mm e com diâmetro interno mínimo igual ou maior a 837mm, classe de rigidez SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido em barras de 6 mde comprimento com anel de vedação', 'Tubo PEAD DN/DI / DN/DE 1000 corrugado parede dupla, liso internamente e corrugado externamente, DN/DI / DN/DE 1000 mm e com diâmetro interno mínimo igual ou maior a 837mm, classe de rigidez SN4. Atendimento integral às normas ABNT NBR ISO 21138-1 e ISO 21138-3. Fornecido em barras de 6 mde comprimento com anel de vedação.']",['Canos e Conexões Hidráulicas']
tubo pead corrugado dn di 800mm,2,['Tubo PEAD corrugado DN/DI 800mm'],['Canos e Conexões Hidráulicas']
tubo pead corrugado dn di 600mm,2,['Tubo PEAD corrugado DN/DI 600mm'],['Canos e Conexões Hidráulicas']
tubo pead corrugado dn di 1000mm,2,['Tubo PEAD corrugado DN/DI 1000mm'],['Canos e Conexões Hidráulicas']
tubo marrom agua fria soldavel dn 50mm,2,"['Tubo Marrom  Água Fria  Soldável  DN 50mm', 'Tubo Marrom - Água Fria - Soldável - DN 50mm']","['Tubos e conexões', 'Tubos e conexões para Gases Medicinais']"
aduela de concreto pre moldada 2 00 x 2 00,2,"['Aduela De Concreto Pré Moldada 2,00 X 2,00', 'Aduela de concreto pré moldada 2,00 x 2,00']",['Aduela de Concreto']
aduela de concreto 300 x 250 x 15 x 100,2,['ADUELA DE CONCRETO 300 X 250 X 15 X 100'],['Aduela de Concreto']
aduela de concreto 250 x 250 x 15 x 100,2,['ADUELA DE CONCRETO 250 X 250 X 15 X 100'],['Aduela de Concreto']
aduela de concreto 200 x 200 x 15 x 100,2,['ADUELA DE CONCRETO 200 X 200 X 15 X 100'],['Aduela de Concreto']
aduela de concreto 150 x 200 x 15 x 100,2,['ADUELA DE CONCRETO 150 X 200 X 15 X 100'],['Aduela de Concreto']
aduela de concreto 150 x 150 x 15 x 100,2,['ADUELA DE CONCRETO 150 X 150 X 15 X 100'],['Aduela de Concreto']
aduela concreto fechada 3 00x3 00m 18cm recobrimento 10 00 a 12 50m 1 00m metro,2,"['ADUELA CONCRETO FECHADA 3,00X3,00M 18CM (RECOBRIMENTO 10,00 A 12,50M) 1,00M (METRO)']",['Aduela de Concreto']
disjuntor monopolar tipo din 3ka 40a curva c,2,"['Disjuntor monopolar tipo DIN 3KA 40A, curva C.']",['Proteções Elétricas']
disjuntor monopolar tipo din 3ka 32a curva c,2,['Disjuntor monopolar tipo DIN 3KA 32A curva C.'],['Proteções Elétricas']
disjuntor monopolar tipo din 3ka 1p 25a curva c,2,"['Disjuntor monopolar tipo DIN 3KA 1P 25A, curva C.']",['Proteções Elétricas']
disjuntor monopolar tipo din 3ka 1p 20a curva c,2,"['Disjuntor monopolar tipo DIN 3KA 1P 20A, curva C.']",['Proteções Elétricas']
disjuntor monopolar tipo din 3ka 16a curva c,2,"['Disjuntor monopolar tipo DIN 3KA 16A, curva C.']",['Proteções Elétricas']
disjuntor monofasico 40a din,2,"['Disjuntor monofásico 40A - din', 'Disjuntor monofásico 40A – DIN']",['Proteções Elétricas']
disjuntor monofasico 20a din,2,"['Disjuntor monofásico 20A -din', 'Disjuntor monofásico 20A – DIN']",['Proteções Elétricas']
disjuntor monofasico 1x32a din,2,"['Disjuntor monofásico 1x32A – DIN', 'Disjuntor monofásico 1x32A – din']",['Proteções Elétricas']
disjuntor dr tetrapolar 40a 30ma referencia schneider siemens equivalente ou superior,2,"['Disjuntor DR tetrapolar 40A 30mA, referência: Schneider, Siemens, equivalente ou superior']",['Proteções Elétricas']
abracadeira de nylon 3 6 150 mm,2,"['Abraçadeira de nylon 3,6 × 150 mm']",['Ferragens para Fixar e Montar']
vergalhao ca 50 32mm 12m,2,['VERGALHAO CA 50 32MM - 12M'],['Aços para Construção']
vergalhao 10 ca 60,2,['vergalhão 10 CA-60'],"['Tomadas, interruptores e plugues']"
valvula lavatorio s ladrao 1601c,2,['VALVULA LAVATORIO S/ LADRAO 1601C'],['Canos e Conexões Hidráulicas']
valvula gaveta,2,['VÁLVULA GAVETA'],['Registros e Bases']
valvula esfera dia 28mm latao,2,['VÁLVULA ESFERA DIA 28mm LATÃO'],['Registros e Bases']
valvula esfera,2,['VÁLVULA ESFERA'],['Registros e Bases']
disco de lixa para metal diametro 180 mm grao 120,2,"['DISCO DE LIXA PARA METAL, DIAMETRO = 180 MM, GRAO  120', 'DISCO DE LIXA PARA METAL, DIAMETRO = 180 MM, GRAO 120']","['Tomadas, interruptores e plugues']"
dianela variegata,2,['DIANELA VARIEGATA'],['Vegetação']
dispositivo dr 4 polos sensibilidade de 300 ma corrente de 100 a tipo ac,2,"['DISPOSITIVO DR, 4 POLOS, SENSIBILIDADE DE 300 MA, CORRENTE DE 100 A, TIPO AC']",['Proteções Elétricas']
dispositivo dr 2 polos sensibilidade de 30 ma corrente de 25 a tipo ac,2,"['DISPOSITIVO DR, 2 POLOS, SENSIBILIDADE DE 30 MA, CORRENTE DE 25 A, TIPO AC']",['Proteções Elétricas']
dispositivo dps classe ii 1 polo tensao maxima de 275 v corrente maxima de 20 ka tipo ac,2,"['DISPOSITIVO DPS CLASSE II, 1 POLO, TENSAO MAXIMA DE 275 V, CORRENTE MAXIMA DE *20* KA (TIPO AC', 'DISPOSITIVO DPS CLASSE II, 1 POLO, TENSAO MAXIMA DE 275 V, CORRENTE MAXIMA DE *20* KA (TIPO AC)']","['EPI: Equipamentos Proteção Individual', 'Para Raios e SPDA']"
disjuntor tripolar tipo din 80a 6ka curva c,2,"['Disjuntor tripolar tipo DIN 80A 6KA, curva C.']",['Proteções Elétricas']
disjuntor tripolar tipo din 60a 6ka curva c,2,"['Disjuntor tripolar tipo DIN 60A 6KA, curva C.']",['Proteções Elétricas']
disjuntor tripolar tipo din 3 x 32a 6ka curva c,2,"['Disjuntor tripolar tipo DIN 3 x 32A 6KA, curva C.']",['Proteções Elétricas']
disjuntor trifasico din 40a,2,['Disjuntor trifásico DIN 40A'],['Proteções Elétricas']
disjuntor trifasico din 30a,2,['Disjuntor trifásico DIN 30A'],['Proteções Elétricas']
disjuntor trifasico 40a din,2,"['Disjuntor trifásico 40A – DIN', 'Disjuntor trifásico 40A – din']",['Proteções Elétricas']
disjuntor trifasico 32a din,2,"['Disjuntor trifásico 32A – DIN', 'Disjuntor trifásico 32A – din']",['Proteções Elétricas']
disjuntor trifasico 125a din,2,"['Disjuntor trifásico 125A – DIN', 'Disjuntor trifásico 125A – din']",['Proteções Elétricas']
disjuntor trifasico,2,['Disjuntor trifásico'],['Proteções Elétricas']
disjuntor termomagnetico tripolar 300 a 600 v tipo jxd icc 40 ka,2,"['DISJUNTOR TERMOMAGNETICO TRIPOLAR 300 A / 600 V, TIPO JXD / ICC - 40 KA']",['Proteções Elétricas']
disjuntor termomagnetico tripolar 25a din curva c 3ka,2,"['DISJUNTOR TERMOMAGNÉTICO - TRIPOLAR - 25A - DIN - CURVA C - 3KA', 'DISJUNTOR TERMOMAGNÉTICO - TRIPOLAR 25A DIN CURVA C 3KA']",['Proteções Elétricas']
eletroduto rigido aco carbono galvanizado 20 mm,2,['ELETRODUTO RÍGIDO AÇO CARBONO GALVANIZADO 20 mm'],['Tubos e Eletrodutos']
eletroduto pead diametro ø2,2,"['ELETRODUTO PEAD, DIÂMETRO Ø2']",['Tubos e Eletrodutos']
eletroduto flexivel rosca nptm x nptf uniao ate 2 pc c 1 metro inclusive,2,"[""Eletroduto fléxivel, rosca NPTM X NPTF união, até 2'' pç c/ 1 metro, inclusive""]",['Tubos e Eletrodutos']
eletroduto flexivel,2,['ELETRODUTO FLEXIVEL'],['Tubos e Eletrodutos']
eletrocalha em aco galvanizado eletrolitico 100x100mm chapa 20usg lisa inclusos todos os acessorios para fixacao e emendas,2,"['Eletrocalha em aço galvanizado eletrolítico, 100x100mm, chapa #20USG, lisa. Inclusos todos os acessórios para fixação e emendas.']",['Eletrocalhas']
duto com guia de 1,2,"['Duto com guia de 1”', 'duto com guia de 1”']",['Tubos e Eletrodutos']
dobrado u 50x100x50 12 2 65mm,2,"['DOBRADO U 50x100x50 #12 (2,65MM)']",['Outros - Ferragens']
dobradica 4 com parafusos,2,['Dobradiça 4” com parafusos'],['Acessórios de Portas e Janelas']
divisoria n2 painel vidro painel mso comeia e 35mm montante rodape duplo aluminio anod nat colocada,2,"['DIVISORIA (N2) PAINEL/VIDRO - PAINEL MSO/COMEIA E=35MM - MONTANTE/RODAPE DUPLO ALUMINIO ANOD NAT - COLOCADA', 'Divisoria (N2) Painel/Vidro - Painel Mso/Comeia E=35mm - Montante/Rodape Duplo Aluminio Anod Nat – Colocada']","['Rodapés', 'Vidros']"
dispositivo dr 4 polos sensibilidade de 300ma corrente de 63a,2,"['Dispositivo DR, 4 polos, sensibilidade de 300ma, corrente de 63A.']",['Proteções Elétricas']
disjuntor din 25 a monofasico,2,['Disjuntor DIN 25 A monofásico'],['Proteções Elétricas']
disjuntor caixa moldada tripolar 175a 65ka,2,['Disjuntor caixa moldada tripolar 175A 65kA'],['Lixeiras']
disjuntor bipolar 2p curva c 20a,2,['DISJUNTOR BIPOLAR (2P) CURVA C 20A'],['Proteções Elétricas']
disjuntor bifasico 40a,2,['Disjuntor bifásico 40A'],['Proteções Elétricas']
disjuntor 1 x 30a,2,['Disjuntor 1 x 30A'],['Proteções Elétricas']
disjuntor 1 x 20a,2,['Disjuntor 1 x 20A'],['Proteções Elétricas']
emulsao asfaltica cationica rl 1c,2,"['EMULSÃO ASFÁLTICA CATIÔNICA RL - 1C', 'Emulsão Asfáltica Catiônica RL-1C']",['Usina de Asfalto']
eletroduto rigido trecho reto material construtivo em aco carbono com galvanizacao a fogo com diametro nominal 50 mm,2,['ELETRODUTO RÍGIDO TRECHO RETO MATERIAL CONSTRUTIVO EM AÇO CARBONO COM GALVANIZAÇÃO A FOGO COM DIÂMETRO NOMINAL: 50 mm'],['Tubos e Eletrodutos']
eletroduto rigido trecho reto material construtivo em aco carbono com galvanizacao a fogo com diametro nominal 20 mm,2,['ELETRODUTO RÍGIDO TRECHO RETO MATERIAL CONSTRUTIVO EM AÇO CARBONO COM GALVANIZAÇÃO A FOGO COM DIÂMETRO NOMINAL: 20 mm'],['Tubos e Eletrodutos']
eletroduto rigido em pvc 3 4pol preto,2,['Eletroduto rígido em PVC 3/4pol Preto'],['Tubos e Eletrodutos']
eletroduto rigido em liga de aluminio 3pol,2,['Eletroduto rígido em liga de alumínio 3pol'],['Tubos e Eletrodutos']
eletroduto rigido em aco carbono galvanizado a fogo com costura extremidades rosca npt vara 3m,2,"['Eletroduto rígido em aço carbono galvanizado a fogo com costura, extremidades rosca NPT, vara 3m']",['Tubos e Eletrodutos']
desempenadeira cabo pls 24 x 12,2,['Desempenadeira – cabo PLS 24 x 12'],['Ferramentas para Construção']
dente para fresadora,2,"['DENTE PARA  FRESADORA', 'DENTE PARA FRESADORA']",['Acessórios e Consumíveis para Ferramentas']
curva vertical interna para eletrocalha,2,['Curva vertical interna para eletrocalha'],['Eletrocalhas']
curva vertical interna p eletrocalha em aco galvanizado eletrolitico 100x100mm chapa 20usg lisa com tampa de encaixe inclusos todos os acessorios para fixacao e emendas,2,"['Curva vertical interna p/ eletrocalha em aço galvanizado eletrolítico, 100x100mm, chapa #20USG, lisa, com tampa de encaixe. Inclusos todos os acessórios para fixação e emendas.']",['Tubos e conexões industriais']
curva horizontal p eletrocalha em aco galvanizado eletrolitico 100x100mm chapa 20usg lisa com tampa de encaixe inclusos todos os acessorios para fixacao e emendas,2,"['Curva horizontal p/ eletrocalha em aço galvanizado eletrolítico, 100x100mm, chapa #20USG, lisa, com tampa de encaixe. Inclusos todos os acessórios para fixação e emendas.']",['Tubos e conexões industriais']
curva 90 pvc soldavel 25mm,2,['Curva 90° PVC soldável 25mm'],['Canos e Conexões Hidráulicas']
curva 90 pvc soldavel 20mm,2,['Curva 90° PVC soldável 20mm'],['Canos e Conexões Hidráulicas']
curva 90 pvc soldavel 150mm,2,['Curva 90° PVC soldável 150mm'],['Canos e Conexões Hidráulicas']
curva 90 pvc soldavel 100mm,2,['Curva 90° PVC soldável 100mm'],['Canos e Conexões Hidráulicas']
eletroduto rigido aco carbono galvanizado 50 mm,2,['ELETRODUTO RÍGIDO AÇO CARBONO GALVANIZADO 50 mm'],['Tubos e Eletrodutos']
fecho quebra unha em latao com acabamento cromado de embutir com comando alavanca altura de de 40 cm largura minima de 1 90 cm e espessura minima de 1 90 mm para portas e janelas inclui parafusos,2,"['FECHO QUEBRA UNHA, EM LATAO COM ACABAMENTO CROMADO, DE EMBUTIR, COM COMANDO ALAVANCA, ALTURA DE DE 40 CM, LARGURA MINIMA DE 1,90 CM E ESPESSURA MINIMA DE 1,90 MM, PARA PORTAS E JANELAS (INCLUI PARAFUSOS)']",['Acessórios de Portas e Janelas']
esqui triplo em tubo de aco carbono pintura no processo eletrostatico equipamento de ginastica para academia ao ar livre academia da terceira idade ati,2,"['ESQUI TRIPLO, EM TUBO DE ACO CARBONO, PINTURA NO PROCESSO ELETROSTATICO - EQUIPAMENTO DE GINASTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI', 'ESQUI TRIPLO, EM TUBO DE AÇO CARBONO, PINTURA NO PROCESSO ELETROSTÁTICO - EQUIPAMENTO DE GINÁSTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI']","['Barras, Tubos e Chapas Metalon', 'Perfis e chapas em aço carbono']"
espuma expansiva 340g 500ml,2,['ESPUMA EXPANSIVA 340G/500ML'],['Espuma Expansiva']
espacador nivelador para piso 1mm c 50pc eco,2,['ESPACADOR NIVELADOR PARA PISO 1MM C/ 50PC ECO'],['Acessórios para Pisos e Revestimentos']
espacador nivelador para piso 1 5mm c 50pc eco,2,['ESPACADOR NIVELADOR PARA PISO 1.5MM C/ 50PC ECO'],['Acessórios para Pisos e Revestimentos']
esmalte suvinil seca rapido acetinado branco 0 9l,2,['ESMALTE SUVINIL SECA RAPIDO ACETINADO BRANCO 0.9L'],['Verniz e Solvente']
escada extensivel vazada,2,['Escada extensível vazada'],['Escadas Móveis']
equipamento de ar condicionado split tipo built in capacidade de 35 000 btu h inverter ciclo reverso,2,['Equipamento de ar condicionado split tipo Built-in capacidade de 35.000 BTU/h inverter ciclo reverso'],['Ar Condicionado']
equipamento de ar condicionado split tipo built in capacidade de 31 000 btu h inverter ciclo reverso,2,['Equipamento de ar condicionado split tipo Built-in capacidade de 31.000 BTU/h inverter ciclo reverso'],['Ar Condicionado']
enxada com cabo,2,['Enxada com cabo'],['Ferramentas para Jardim']
