Prod_Desc_norm,ocorrencias,exemplos,subcats
anel de borracha dn75mm para linha de pvc rigido branco serie normal conforme nbr 5688,4,"['Anel de Borracha, DN75mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Anéis de Vedação', 'Sanitário']"
anel de borracha dn150mm para linha de pvc rigido branco serie normal conforme nbr 5688,4,"['Anel de Borracha, DN150mm, para linha de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Anéis de Vedação', 'Sanitário']"
eletroduto rigido em liga de aluminio 3 4pol,4,['Eletroduto rígido em liga de alumínio 3/4pol'],['Tubos e Eletrodutos']
tesoura,4,['TESOURA'],['Ferramentas Manuais']
tubo corrugado pead parede dupla interna lisa jei dn di 600 mm para saneamento drenagem esgoto,4,"['TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 600 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO)', 'TUBO CORRUGADO PEAD, PAREDE DUPLA, INTERNA LISA, JEI, DN/DI 600 MM, PARA SANEAMENTO (DRENAGEM/ESGOTO).']","['Canos e Conexões Hidráulicas', 'Dutos e conexões PEAD', 'Sanitário']"
tubo coletor de esgoto pvc jei dn 400 mm nbr 7362,4,"['TUBO COLETOR DE ESGOTO PVC, JEI, DN 400 MM (NBR 7362)']",['Sanitário']
conector terminal generico 6a 16mm p disjuntor frontal,4,"['CONECTOR TERMINAL GENERICO 6A 16MM P/ DISJUNTOR FRONTAL', 'CONECTOR TERMINAL GENÉRICO 6A 16MM P/DISJUNTOR FRONTAL', 'Conector terminal genérico 6A 16mm p/disjuntor frontal']",['Proteções Elétricas']
joelho 45 dn50mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
condulete multiplo tipo x,4,['Condulete Multiplo Tipo X'],['Acessórios e Conexões Elétricas']
condicionador de ar split hiwall inverter,4,['Condicionador de ar SPLIT HIWALL INVERTER'],['Ar Condicionado']
joelho 45 dn40mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN40mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 45 dn150mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 45 dn100mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Joelho 45°, DN100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues']"
gabiao tipo caixa em malha hexagonal de dupla torcao tipo 8x10 com arame de aco btc diametro de 2 4 mm recoberto com pvc com espessura minima de 0 40 mm bord em contato direto e constante com agua,4,"['GABIAO TIPO CAIXA EM MALHA HEXAGONAL DE DUPLA TORCAO, TIPO 8X10  COM ARAME DE ACO BTC, DIAMETRO DE 2,4 MM RECOBERTO COM PVC COM ESPESSURA MINIMA DE 0,40 MM, BORD - EM CONTATO DIRETO E CONSTANTE COM AGUA']",['Aços para Construção']
fita isolante de autofusao,4,"['Fita Isolante de Autofusão', 'Fita isolante de autofusão']",['Acessórios e Conexões Elétricas']
cimento portland cp ii 32,4,['Cimento Portland CP II 32'],['Cimentos']
joelho 90 dn25mm ppr termofusao,4,"['Joelho 90° DN25mm PPR Termofusão', 'Joelho 90°, DN25mm, PPR Termofusão']",['Canos e Conexões Hidráulicas']
joelho 90 com bucha de latao dn25x3 4 linha pvc marrom soldavel conforme nbr 5648,4,"[""Joelho 90° com Bucha de Latão, DN25x3/4'', Linha PVC Marrom Soldável, conforme NBR 5648"", ""Joelho 90° com Bucha de Latão, DN25x3/4', Linha PVC Marrom Soldável, conforme NBR 5648""]","['Cabos e Fios Elétricos', 'Água Fria']"
luminaria led 100w,4,"['Luminária LED 100W', 'Luminária LED 100w']",['Luminárias']
terminal de ventilacao dn50mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Terminal de Ventilação, DN50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Acessórios e Conexões Elétricas', 'Sanitário']"
te dn32mm pvc marrom soldavel conforme nbr 5648,4,"['Tê, DN32mm, PVC Marrom Soldável, conforme NBR 5648']","['Canos e Conexões Hidráulicas', 'Água Fria']"
te dn25mm pvc marrom soldavel conforme nbr 5648,4,"['Tê, DN25mm, PVC Marrom Soldável, conforme NBR 5648']","['Canos e Conexões Hidráulicas', 'Água Fria']"
te 90 dn100x100mm de pvc rigido branco serie normal conforme nbr 5688,4,"['Tê 90°, DN100x100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Sanitário', 'Tomadas, interruptores e plugues']"
disjuntor trifasico mdw c80,4,['Disjuntor Trifásico MDW-C80'],['Proteções Elétricas']
disjuntor monofasico c16,4,['Disjuntor Monofásico C16'],['Proteções Elétricas']
disjuntor monofasico c10,4,['Disjuntor Monofásico C10'],['Proteções Elétricas']
manta asfaltica,4,"['MANTA ASFÁLTICA', 'Manta Asfaltica', 'Manta asfáltica']","['Barreiras de Proteção', 'Outros - Materiais de Construção']"
cantoneira de inox uns 31803 industrializada medindo 40 x 25 x 04 mm,4,['Cantoneira de inox UNS 31803 industrializada medindo 40 x 25 x 04 mm'],['Barras e tubos INOX']
painel eletrico,4,['PAINEL ELÉTRICO'],['Quadros e Caixas Elétricas']
calca de brim cinza pesado,4,['Calça de Brim Cinza Pesado'],['EPI: Equipamentos Proteção Individual']
caixa de protecao para hidrometro fornecido completo com hidrometro conexoes e registro dn 25mm,4,"['Caixa de Proteção para Hidrômetro, fornecido completo, com hidrômetro, conexões e registro, DN 25mm']","['Caixas para Hidrômetros', 'Água Fria']"
meia luva,4,['MEIA LUVA'],"['Canos e Conexões Hidráulicas', 'Tubos e conexões industriais']"
martelo,4,"['MARTELO', 'Martelo', 'martelo']",['Ferramentas Manuais']
manta termoplastica pead geomembrana lisa e 2 00 mm nbr 15352,4,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 2,00 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA LISA, E = 2,00 MM (NBR 15352)']",['Barreiras de Proteção']
poste conico continuo circular reto engastado,4,['Poste cônico contínuo circular reto engastado'],['Poste Metálico']
brita n 4,4,"['BRITA - N° 4', 'Brita N°4']","['Areia, Pedra Brita, Gesso, Cal e Argila']"
barra chata de inox uns 31803 industrializada medindo 40 x 08 mm,4,['Barra chata de inox UNS 31803 industrializada medindo 40 x 08 mm'],['Barras e tubos INOX']
terminal eletrico tubular duplo ilhos pre isolado 1 5mm,4,"['TERMINAL ELÉTRICO TUBULAR DUPLO ILHÓS PRÉ-ISOLADO 1,5MM', 'Terminal elétrico tubular duplo ilhós pré-isolado 1,5mm']",['Acessórios e Conexões Elétricas']
caixa de ligacao,4,['CAIXA DE LIGAÇÃO'],['Quadros e Caixas Elétricas']
cabo flexivel,4,['Cabo flexível'],['Cabos Elétricos']
prolongador sem entrada dn300 esgoto tigre,4,"['Prolongador sem entrada DN300, Esgoto - TIGRE']",['Sanitário']
cabo 10 00mm 450 750v vermelho,4,"['Cabo 10,00mm 450/750v Vermelho']",['Cabos Elétricos']
cabo 10 00mm 450 750v preto,4,"['Cabo 10,00mm 450/750v Preto']",['Cabos Elétricos']
cabo de cobre flexivel classe 4 ou 5 isolacao em pvc a antichama bwf b 1 condutor 450 750 v secao nominal 2 5 mm2,4,"['CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, 1 CONDUTOR, 450/750 V, SECAO NOMINAL 2,5 MM2']",['Cabos Elétricos']
registro esfera vs soldavel dn32mm,4,['Registro Esfera VS Soldável DN32mm'],"['Registros e Bases', 'Água Fria']"
reducao excentrica dn75x50mm de pvc rigido branco serie normal para esgoto e agua pluvial conforme nbr 5688,4,"['Redução Excêntrica, DN75x50mm, de PVC Rígido Branco Série Normal para Esgoto e Água Pluvial, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
rele fotoeletrico magnetico sem retardo para comando de iluminacao publica,4,['Relé fotoelétrico magnético sem retardo para comando de iluminação pública'],['Equipamentos']
cabo 6 00mm 450 750v vermelho,4,"['Cabo 6,00mm 450/750v Vermelho']",['Cabos Elétricos']
cabo 6 00mm 450 750v preto,4,"['Cabo 6,00mm 450/750v Preto']",['Cabos Elétricos']
cabo 6 00mm 450 750v azul,4,"['Cabo 6,00mm 450/750v Azul']",['Cabos Elétricos']
cabo 4 00mm 450 750v vermelho,4,"['Cabo 4,00mm 450/750v Vermelho']",['Cabos Elétricos']
cabo 4 00mm 450 750v preto,4,"['Cabo 4,00mm 450/750v Preto']",['Cabos Elétricos']
cabo 4 00mm 450 750v branco,4,"['Cabo 4,00mm 450/750v Branco']",['Cabos Elétricos']
cabo 4 00mm 450 750v azul,4,"['Cabo 4,00mm 450/750v Azul']",['Cabos Elétricos']
cabo 2 50mm 450 750v verde,4,"['Cabo 2,50mm 450/750v Verde']",['Cabos Elétricos']
cabo 2 50mm 450 750v preto,4,"['Cabo 2,50mm 450/750v Preto']",['Cabos Elétricos']
cabo 2 50mm 450 750v branco,4,"['Cabo 2,50mm 450/750v Branco']",['Cabos Elétricos']
cabo 2 50mm 450 750v azul,4,"['Cabo 2,50mm 450/750v Azul']",['Cabos Elétricos']
cabo 2 50mm 450 750 vermelho,4,"['Cabo 2,50mm 450/750 Vermelho']",['Cabos Elétricos']
cabo 10 00mm 450 750v branco,4,"['Cabo 10,00mm 450/750v Branco']",['Cabos Elétricos']
cabo 10 00mm 450 750v azul,4,"['Cabo 10,00mm 450/750v Azul']",['Cabos Elétricos']
cabo 1 50mm 450 750v vermelho,4,"['Cabo 1,50mm 450/750v Vermelho']",['Cabos Elétricos']
cabo 1 50mm 450 750v preto,4,"['Cabo 1,50mm 450/750v Preto']",['Cabos Elétricos']
cabo 1 50mm 450 750v azul,4,"['Cabo 1,50mm 450/750v Azul']",['Cabos Elétricos']
cabo 1 50mm 450 750v amarelo,4,"['Cabo 1,50mm 450/750v Amarelo']",['Cabos Elétricos']
cabo 1 50mm 150 750v branco,4,"['Cabo 1,50mm 150/750v Branco']",['Cabos Elétricos']
tubo ø50,4,['Tubo Ø50'],['Canos de Concreto']
