y_true	y_pred	pred_confidence
Serviços Mecânicos	Construção Civil	0.024024141877081358
Ferramentas   para Pintura	Acessórios e Consumíveis para Ferramentas	0.004122394811681061
Aços para Construção	Ferragens	0.028817864119788213
Outros - Materiais de Construção	Ferramentas Manuais	0.029557810934290923
Eletrocalhas	Tomadas, interruptores e plugues	0.023384515813462858
Cabos e Fios Elétricos	EPI: Equipamentos Proteção Individual	0.0047901081534749345
Ferragens para Fixar e Montar	Cabos Elétricos	0.006186412104248922
Plugs e Adaptadores	Água Fria	0.008876194135535862
Insumos metálicos	Eletrocalhas	0.006675717157267147
Tomadas, interruptores e plugues	Madeiras para Construção	0.02837757555724942
Suporte e Fixação	Proteções Elétricas	0.013404115354657513
Insumos metálicos	Cabos Elétricos	0.0061063470210366904
Tomadas, interruptores e plugues	Aduela de Concreto	0.0669771382699262
Aços para Construção	Cercados e Segurança	0.04078273102965977
Artefatos de Concreto	Poste de Concreto	0.026502703325440604
Outros - Materiais Hidráulicos	Climatizadores de Ar	0.006963603093673853
Verniz e Solvente	Tomadas, interruptores e plugues	0.0074540907763399195
Isolamento	Subestações e Alta Tensão	0.00468578152871833
Sanitário	Caixas de Esgoto	0.016438987638722258
Ferramentas Manuais	Acessórios e Consumíveis para Ferramentas	0.012553533180786993
Outros - Materiais Hidráulicos	Eletrocalhas	0.0071359661897952755
Cimentos	Gesso e Drywall	0.00457771862933913
Lixeiras	Fontes de Energia	0.140312944117829
Para Raios e SPDA	Poste Metálico	0.009526824272971702
Concreto	Sanitário	0.5112874612220693
Verniz e Solvente	Telhas	0.037923860853179475
Tubos e conexões para Gases Medicinais	Canos e Conexões Hidráulicas	0.021163205403259226
Ferragens para Fixar e Montar	Ferramentas Manuais	0.005409166035226816
Alarmes e Sensores de Presença	Acessórios de Portas e Janelas	0.011362057533482491
Canos e Conexões Hidráulicas	Sanitário	0.2980269149959876
Eletrodomésticos	Ar Condicionado	0.010281113474103827
Tomadas, interruptores e plugues	Automação Industrial	0.010435485949722854
Tubos e conexões para Gases Medicinais	Tintas Spray	0.015602880215310673
Acessórios de Portas e Janelas	Rodapés	0.009325925670419791
Vegetação	Manta e Produtos Asfálticos	0.006550456715378576
Canos e Conexões Hidráulicas	Cabos e Fios Elétricos	0.03584789147526104
Tela, cerca e gabião em aço	Tomadas, interruptores e plugues	0.041580352508036454
Construção Civil	maquinas pesadas	0.007616209736918576
Tomadas, interruptores e plugues	Aduela de Concreto	0.007451632309241359
Insumos metálicos	Perfis e chapas em aço carbono	0.01643518406717834
Câmeras de Segurança e CFTV	Cimentos	0.012439759705104757
Cabos e Fios Elétricos	Sanitário	0.05715239499756722
Perfis e chapas em aço carbono	Tomadas, interruptores e plugues	0.00445890060791146
Acessórios e Conexões Elétricas	Barras, Tubos e Chapas Metalon	0.004634745743889283
Canos e Conexões Hidráulicas	Água Fria	0.05059785277020357
Canos e Conexões Hidráulicas	Outros - Materiais de Construção	0.005014301324295056
Artefatos de Concreto	Aduela de Concreto	0.005638165681274074
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.008591066964290432
Automação Industrial	Baterias	0.005993320948051827
Luminárias	Lâmpadas	0.03541134647294461
Kits para Banheiro	Acessórios para Banheiro	0.005455858113485535
Postes de Jardim	Lâmpadas	0.0329933626281047
Equipamentos Elétricos	Tomadas, interruptores e plugues	0.0046220794359979
Cabos e Fios Elétricos	Areia, Pedra Brita, Gesso, Cal e Argila	0.005720715244210527
Artefatos de Concreto	Poste de Concreto	0.012817997352689098
Perfis e chapas em aço carbono	Parafusos e acessórios	0.009463011946898171
Poste de madeira	Poste de Concreto	0.005654540213827224
Água Fria	Canos e Conexões Hidráulicas	0.016237709592891204
Aduela de Concreto	Artefatos de Concreto	0.010644385995517891
Sanitário	Aduela de Concreto	0.005105942766188552
Vegetação	Cabos Elétricos	0.008586969651976166
Cabos e Fios Elétricos	Cabos Elétricos	0.2073589734675543
Outros	Esportes e Lazer	0.062437719330521606
Materiais para Obras	Tomadas, interruptores e plugues	0.013078853778143388
Luminárias	Refletores	0.03396528354563333
Tomadas, interruptores e plugues	Esportes e Lazer	0.03224784686335768
Outros - Eletros	Utilidades Domésticas	0.026970261906772458
Revestimentos	Verniz e Solvente	0.12964737403569893
Ferragens para Fixar e Montar	Para Raios e SPDA	0.008121059589276697
Lixeiras de Calçada	Barras, Tubos e Chapas Metalon	0.007525264035542709
Artefatos de Concreto	Ferragens para Fixar e Montar	0.004471103073903053
Acessórios de Portas e Janelas	Tomadas, interruptores e plugues	0.004535723191359624
Acessórios de Portas e Janelas	Janelas e Venezianas	0.11647096824283878
Outros - Materiais de Construção	Canos e Conexões Hidráulicas	0.004403267353942908
Cabos Elétricos	Cabos e Fios Elétricos	0.025299310964075068
Para Raios e SPDA	Cabos Elétricos	0.005242561821789663
Acessórios e Consumíveis para Ferramentas	Serviços Mecânicos	0.02606102921943638
Tomadas, interruptores e plugues	Sanitário	0.01062072240466659
Aduela de Concreto	Concreto	0.006648506242781573
Luminárias	Poste Metálico	0.03989645979479668
Móveis	Aduela de Concreto	0.010534003883786858
Proteções Elétricas	Fontes de Energia	0.012142484062977191
Eletrodomésticos	Perfis e chapas em aço carbono	0.007020955343140879
Cabos e Fios Elétricos	EPI: Equipamentos Proteção Individual	0.0048111650093150245
Máquinas Elétricas	Baterias	0.0054348643045685294
Acessórios de Portas e Janelas	Portas corta fogo	0.024939735230349976
Produtos para Limpeza	Verniz e Solvente	0.02050115604707814
Ferramentas de Medição	Calhas, Rufos e Algerosas	0.21816882040502492
Outros - Ferragens	Tomadas, interruptores e plugues	0.006250120881454588
Ferragens para Fixar e Montar	Outros - Ferragens	0.033801573775453744
Para Raios e SPDA	Equipamentos	0.006098116141097294
Outros - Materiais de Construção	Impermeabilizantes	0.027312047784107195
Artefatos de Concreto	Aduela de Concreto	0.013782767971814916
Parafusos e acessórios	Canos de Concreto	0.011614882353573688
Para Raios e SPDA	Construção Civil	0.008792850755325984
Construção Civil	Cabos e Fios Elétricos	0.02415449660841816
Tomadas, interruptores e plugues	Sanitário	0.025212162269443717
Elevador Cremalheira	Equipamentos para Construção	0.005847674896442005
Outros - Materiais de Construção	Telhas	0.03436495132003758
Aços para Construção	Canos e Conexões Hidráulicas	0.006753454055027349
Aduela de Concreto	Poste de Concreto	0.009573328998899766
Cabos e Fios Elétricos	Cabos Elétricos	0.2905643767672221
Revestimentos Internos	Argamassas	0.00863889732248604
Produtos para Limpeza	Acessórios para Banheiro	0.016063014198912273
Água Quente	Tomadas, interruptores e plugues	0.006348213507831061
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.005826091161084481
Tomadas e Interruptores Específicos	Tomadas, interruptores e plugues	0.010085432547201843
Barras e tubos INOX	Canos e Conexões Hidráulicas	0.004862636045026826
Tomadas, interruptores e plugues	Para Raios e SPDA	0.005821292866289293
Plugs e Adaptadores	Condutos	0.0052422330581648
Acessibilidade	Transporte Vertical	0.007399039639201655
Gesso e Drywall	Aços para Construção	0.03610475497570216
Barras, Tubos e Chapas Metalon	Canos e Conexões Hidráulicas	0.01140228513200656
Lona, Papelão e Plástico Bolha	Tijolos e Blocos Estruturais	0.005115731408181897
Para Raios e SPDA	Ferragens para Fixar e Montar	0.006996702426027709
Outros	Abajures	0.0029673590504451044
Cercados e Segurança	Construção Civil	0.018325740113745242
Água Fria	Tubos e conexões para Gases Medicinais	0.00911229763700739
Outros Elétricos	EPI: Equipamentos Proteção Individual	0.007315747315983219
Cimento Asfáltico de Petróleo - CAP	Pavimentaço	0.016635776491971312
Luminárias	Postes de Jardim	0.0068136191470907275
Parafusos e acessórios	Assentos Sanitários	0.004385405328529526
Outros - Materiais de Construção	Produtos para Limpeza	0.006147321176059149
Outros - Madeiras	Poste Metálico	0.004402724643130297
Portas e esquadrias	Acessórios de Portas e Janelas	0.010170098980472227
Outros - Materiais Hidráulicos	Ferramentas Manuais	0.00597348991327861
Poste de Concreto	Artefatos de Concreto	0.04762037448795603
Caixas de Esgoto	Quadros e Caixas Elétricas	0.006220523864945926
Equipamentos para Gases Medicinais	Acessórios de Portas e Janelas	0.013017756411292134
Tomadas, interruptores e plugues	Sanitário	0.010844435517791202
Ferramentas Manuais	Cabos Elétricos	0.01672425558725743
Infraestrutura	EPI: Equipamentos Proteção Individual	0.009361128629501171
Portas e esquadrias	Acessórios de Portas e Janelas	0.006615759553615538
Tubos e conexões industriais	Revestimentos Externos	0.008085772314536313
Cabos e Fios Elétricos	Cabos Elétricos	0.18876603730498892
Chapas INOX	Tubos e Eletrodutos	0.008774009046844038
Barras e tubos INOX	Canos e Conexões Hidráulicas	0.004862636045026826
Acessórios e Consumíveis para Ferramentas	Parafusos e acessórios	0.008142983772335105
Cabos Elétricos	Ferramentas Manuais	0.009527682520812743
Luminárias	Poste Metálico	0.03720773398209443
Tomadas, interruptores e plugues	Outros - Ferragens	0.014692098940546103
Outros - Ferragens	Ferragens para Fixar e Montar	0.04135070332359205
Notebooks	Câmeras de Segurança e CFTV	0.02272009619868428
Tubos e conexões para Gases Medicinais	Canos e Conexões Hidráulicas	0.01694295699660418
Sinalização, Letras e Números	EPI: Equipamentos Proteção Individual	0.005927189810887363
Usina de Solo	Construção Civil	0.01100988730006741
Pincéis, Rolos e Acessórios	Parafusos e acessórios	0.004127731884186334
