	precision	recall	f1-score	support
Revestimentos Externos	1.0	1.0	1.0	3.0
Rodapés	1.0	1.0	1.0	4.0
Sanitário	1.0	0.6	0.75	10.0
Serviços Mecânicos	1.0	0.5	0.6666666666666666	2.0
Sinalização, Letras e Números	1.0	0.6666666666666666	0.8	3.0
Sistemas	1.0	1.0	1.0	6.0
Subestações e Alta Tensão	0.8333333333333334	0.625	0.7142857142857143	8.0
Tela, cerca e gabião em aço	1.0	0.625	0.7692307692307693	8.0
Telhas	0.7777777777777778	1.0	0.875	21.0
Tijolos e Blocos Estruturais	1.0	0.6666666666666666	0.8	9.0
Tintas	0.8260869565217391	1.0	0.9047619047619048	19.0
Tomadas, interruptores e plugues	0.8095238095238095	1.0	0.8947368421052632	34.0
Torneiras	1.0	1.0	1.0	5.0
Transformadores de Energia	0.9333333333333333	1.0	0.9655172413793104	28.0
Transportes	0.8888888888888888	0.8888888888888888	0.8888888888888888	9.0
Tubos e Eletrodutos	0.925	0.9024390243902439	0.9135802469135802	41.0
Tubos e conexões	0.0	0.0	0.0	2.0
Tubos e conexões industriais	0.9090909090909091	0.5	0.6451612903225806	20.0
Usina de Asfalto	1.0	1.0	1.0	3.0
Vegetação	0.0	0.0	0.0	2.0
Verniz e Solvente	1.0	0.5714285714285714	0.7272727272727273	7.0
Vidros	1.0	1.0	1.0	7.0
maquinas pesadas	1.0	0.6	0.75	5.0
Água Fria	1.0	0.05263157894736842	0.1	19.0
accuracy	0.8522167487684729	0.8522167487684729	0.8522167487684729	0.8522167487684729
macro avg	0.823342245301205	0.7076696466695859	0.7328736849550691	1624.0
weighted avg	0.8517020094856276	0.8522167487684729	0.8337459155414105	1624.0
