	precision	recall	f1-score	support
Sanitário	1.0	0.5	0.6666666666666666	10.0
Serviços Mecânicos	0.5	0.5	0.5	2.0
Sinalização, Letras e Números	0.5	0.3333333333333333	0.4	3.0
Sistemas	1.0	1.0	1.0	6.0
Subestações e Alta Tensão	0.8333333333333334	0.625	0.7142857142857143	8.0
Tela, cerca e gabião em aço	0.8	1.0	0.8888888888888888	8.0
Telhas	0.8076923076923077	1.0	0.8936170212765957	21.0
Tijolos e Blocos Estruturais	0.8888888888888888	0.8888888888888888	0.8888888888888888	9.0
Tintas	1.0	1.0	1.0	19.0
Tomadas, interruptores e plugues	1.0	0.9411764705882353	0.9696969696969697	34.0
Torneiras	1.0	1.0	1.0	5.0
Transformadores de Energia	0.9655172413793104	1.0	0.9824561403508771	28.0
Transportes	1.0	1.0	1.0	9.0
Tubos e Eletrodutos	0.9285714285714286	0.9512195121951219	0.9397590361445783	41.0
Tubos e conexões	1.0	0.5	0.6666666666666666	2.0
Tubos e conexões industriais	0.8421052631578947	0.8	0.8205128205128205	20.0
Usina de Asfalto	1.0	1.0	1.0	3.0
Vegetação	0.0	0.0	0.0	2.0
Verniz e Solvente	0.8571428571428571	0.8571428571428571	0.8571428571428571	7.0
Vidros	1.0	1.0	1.0	7.0
maquinas pesadas	1.0	0.6	0.75	5.0
Água Fria	0.9444444444444444	0.8947368421052632	0.918918918918919	19.0
accuracy	0.8860837438423645	0.8860837438423645	0.8860837438423645	0.8860837438423645
macro avg	0.8650166458643647	0.802998234030076	0.8165840412495271	1624.0
weighted avg	0.8967310050083922	0.8860837438423645	0.8838093462781589	1624.0
