	precision	recall	f1-score	support
Ralos e Grelhas	0.7142857142857143	0.8333333333333334	0.7692307692307693	6.0
Refletores	1.0	1.0	1.0	10.0
Registros e Bases	0.8571428571428571	0.9230769230769231	0.8888888888888888	13.0
Revestimentos Externos	1.0	0.6666666666666666	0.8	3.0
Rodapés	1.0	0.75	0.8571428571428571	4.0
Sanitário	0.8	0.8	0.8	10.0
Serviços Mecânicos	0.6666666666666666	1.0	0.8	2.0
Sinalização, Letras e Números	0.75	1.0	0.8571428571428571	3.0
Sistemas	1.0	1.0	1.0	6.0
Subestações e Alta Tensão	0.875	0.875	0.875	8.0
Tampões e Grelhas	0.6666666666666666	0.5	0.5714285714285714	4.0
Tela, cerca e gabião em aço	1.0	0.625	0.7692307692307693	8.0
Telhas	1.0	0.9523809523809523	0.975609756097561	21.0
Tijolos e Blocos Estruturais	1.0	0.8888888888888888	0.9411764705882353	9.0
Tintas	0.95	1.0	0.9743589743589743	19.0
Tomadas, interruptores e plugues	0.9705882352941176	0.9705882352941176	0.9705882352941176	34.0
Torneiras	1.0	1.0	1.0	5.0
Transformadores de Energia	1.0	1.0	1.0	28.0
Transportes	0.9	1.0	0.9473684210526315	9.0
Tubos e Eletrodutos	0.9024390243902439	0.9024390243902439	0.9024390243902439	41.0
Tubos e conexões	0.6666666666666666	1.0	0.8	2.0
Tubos e conexões industriais	0.9333333333333333	0.7	0.8	20.0
Usina de Asfalto	0.6	1.0	0.75	3.0
Vegetação	0.0	0.0	0.0	2.0
Verniz e Solvente	1.0	0.8571428571428571	0.9230769230769231	7.0
Vidros	1.0	1.0	1.0	7.0
maquinas pesadas	1.0	1.0	1.0	5.0
Água Fria	0.8666666666666667	0.6842105263157895	0.7647058823529411	19.0
accuracy	0.9191797346200241	0.9191797346200241	0.9191797346200241	0.9191797346200241
macro avg	0.8960164251173012	0.8716803194062893	0.8723715834173095	1658.0
weighted avg	0.923826104917112	0.9191797346200241	0.9170294354253797	1658.0
