y_true	y_pred	pred_confidence
Fontes de Energia	Proteções Elétricas	0.031254908247120405
Cabos e Fios Elétricos	Sistemas	0.1111037164712345
Tomadas, interruptores e plugues	Quadros e Caixas Elétricas	0.049438517432225465
Tomadas, interruptores e plugues	Tubos e Eletrodutos	0.7036711484230576
Caixas para Hidrômetros	Água Fria	0.3729873960465065
Cabos e Fios Elétricos	Cabos Elétricos	0.1734399429709739
Acessórios Hidráulicos	Canos e Conexões Hidráulicas	0.06023205771907433
Proteções Elétricas	Tubos e Eletrodutos	0.08700031864034985
Tomadas, interruptores e plugues	Sanitário	0.14461416558352463
Acessórios e Conexões Elétricas	Para Raios e SPDA	0.08761824038226271
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.23188056316942557
Disjuntores e Fusíveis	Proteções Elétricas	0.15701148852451832
Tomadas, interruptores e plugues	Para Raios e SPDA	0.13795674675262534
Dutos e conexões PEAD	Canos e Conexões Hidráulicas	0.38936918702741535
Acessórios e Conexões Elétricas	Outros Elétricos	0.041424345376646826
Eletrocalhas	Tomadas, interruptores e plugues	0.04246994128697197
Tomadas, interruptores e plugues	Subestações e Alta Tensão	0.08602208599837148
Outros - Materiais Hidráulicos	Canos e Conexões Hidráulicas	0.041859010649799626
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.14137758540594308
Tomadas, interruptores e plugues	Acessórios e Conexões Elétricas	0.09645684859239671
Para Raios e SPDA	Baterias	0.04133789789842786
Luminárias	Registros e Bases	0.02939522035979953
Cabos e Fios Elétricos	Cabos Elétricos	0.0721390733965254
Tomadas, interruptores e plugues	Cabos e Fios Elétricos	0.5562723173956187
Acessórios Hidráulicos	Canos e Conexões Hidráulicas	0.19080718305206432
Água Fria	Canos e Conexões Hidráulicas	0.31719068223668784
Tomadas, interruptores e plugues	Sanitário	0.13619760356640181
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.23188056316942557
Tomadas, interruptores e plugues	Tubos e Eletrodutos	0.13677539616042594
