model	cv_f1_macro_mean	cv_f1_macro_std	test_accuracy	test_f1_macro
ComplementNB	0.40926729042397114	0.0053612626920068185	0.7592128801431127	0.538331448357689
LogReg	0.14972162229531344	0.0028928270025175423	0.6801431127012523	0.2897247073932909
MultinomialNB	0.10525838490275688	0.00121462783423585	0.5906976744186047	0.1888739906055673
